Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,UTILIZATION
bee2a741-01aa-356d-9442-135aaeb7a3ee,69176529-fd1f-3b3f-abce-a0a3626769eb,Lesley194 Fisher429,M,GENERAL PRACTICE,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,02138,42.375967,-71.118275,68
e2af1206-217d-3598-94c2-c776c9b97fb0,e002090d-4e92-300e-b41e-7d1f21dee4c6,Wilfredo622 Medhurst46,M,GENERAL PRACTICE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,02138,42.375967,-71.118275,4
c7da7c76-fbc8-3c30-9fc9-f9f4b27aa4c3,4bdaa4c2-c664-3089-aee2-7137abbad27f,Delta800 Quigley282,F,GENERAL PRACTICE,100 SOUTH STREET,SOUTHBRIDGE,MA,01550,42.059669,-72.03404,117
bbdc15ff-41b7-31a5-a609-908383130715,fd328395-ab1d-35c6-a2d0-d05a9a79cf11,Douglass930 Windler79,M,GENERAL PRACTICE,271 CAREW STREET,SPRINGFIELD,MA,01104,42.115454,-72.539978,203
73278f5e-1a50-32de-8cf3-fe209f5fc438,8ad64ecf-c817-3753-bee7-006a8e662e06,Antwan357 Harris789,M,GENERAL PRACTICE,88 WASHINGTON STREET,TAUNTON,MA,02780,41.903323,-71.094984,116
e3b46adb-d34a-3a50-9871-e9828050b519,60457c13-adb2-3415-82c5-86ab5dab5f93,Margery365 Paucek755,F,GENERAL PRACTICE,759 CHESTNUT STREET,SPRINGFIELD,MA,01199,42.115454,-72.539978,102
a9a6227a-9029-3af6-bc97-504b0f449f16,a9f20dc1-5147-3789-bcef-bbecb41c5983,Denisse335 Schulist381,F,GENERAL PRACTICE,70 EAST STREET,METHUEN,MA,01844,42.742751,-71.178588,80
e277c956-5e01-3ff2-90ff-763ad561d491,3d10019f-c88e-3de5-9916-6107b9c0263d,Darrick836 Franecki195,M,GENERAL PRACTICE,2014 WASHINGTON STREET,NEWTON,MA,02462,42.331876,-71.208402,166
cd302ebb-6faa-3b92-bbd0-01cb3dc98eae,f4e7709c-02f6-37ca-aeea-8247d74e88e7,Leonie332 Hirthe744,F,GENERAL PRACTICE,41 HIGHLAND AVENUE,WINCHESTER,MA,01890,42.452752,-71.144319,35
9b84472c-b479-335c-938d-fb185cfa5c7a,465de31f-3098-365c-af70-48a071e1f5aa,Alta896 Schiller186,F,GENERAL PRACTICE,115 LINCOLN STREET,FRAMINGHAM,MA,01701,42.307905,-71.436196,26
feac996c-87f7-308d-b03a-75aa50770920,7fdd295c-3ec8-3fc4-b7c8-3662ec20a4d8,Lorie307 Mills423,F,GENERAL PRACTICE,22 MILL ST,ARLINGTON,MA,02476-4744,42.418721999999995,-71.163912,32
cb8a89ee-b7c9-3e94-bc15-a7676c0a9f44,7de1976a-eff4-3ca6-ac09-274462ae76ef,Magan944 Lebsack687,F,GENERAL PRACTICE,888 MAIN ST,WINCHESTER,MA,01890-1913,42.452752000000004,-71.144319,38
f4feb1b6-180c-37b7-8f88-d3791cc13317,24b34675-1c17-3afe-bd01-0aaf3186ad4f,Jenni670 Thompson596,F,CHIROPRACTIC,1751 BEACON ST,BROOKLINE,MA,02445-5349,42.323853,-71.142003,0
a9db159f-970b-3ef8-b55c-6d9a0221c150,24b34675-1c17-3afe-bd01-0aaf3186ad4f,Conrad619 Thompson596,M,GENERAL PRACTICE,1751 BEACON ST,BROOKLINE,MA,02445-5349,42.323853,-71.142003,39
a1c08f41-9ace-350d-a680-68febe57fc42,3ad44914-0d76-3fe5-a307-dcfd45d2b957,Maximo817 Flatley871,M,CHIROPRACTIC,350 BEDFORD ST,LAKEVILLE,MA,02347-2127,41.834412,-70.957166,0
d894416c-08c8-3279-8c19-fb8cd84cfbb5,3ad44914-0d76-3fe5-a307-dcfd45d2b957,Maximo817 Flatley871,M,GENERAL PRACTICE,350 BEDFORD ST,LAKEVILLE,MA,02347-2127,41.834412,-70.957166,71
69cbdbcd-16e2-3010-8655-7c7c1c8c15a8,27a44976-5577-32f4-be7c-0bc97487b7a6,Starla601 Breitenberg711,F,GENERAL PRACTICE,175 DWIGHT RD,LONGMEADOW,MA,01106-1761,42.047565000000006,-72.57113000000001,54
f12fccf5-8790-36f2-a326-f6d8ed60a95a,d016c076-b845-362f-8870-2e652d5fe9fb,Jerrod232 Lehner980,M,OPTOMETRY,463 WORCESTER RD,FRAMINGHAM,MA,01701-5354,42.307905,-71.436196,0
9b1e809d-ac9e-3281-8605-074e4124029b,d016c076-b845-362f-8870-2e652d5fe9fb,Hue920 Heidenreich818,F,OPTOMETRY,463 WORCESTER RD,FRAMINGHAM,MA,01701-5354,42.307905,-71.436196,0
40a12703-69c3-339b-b11c-9f76cb0a5abe,d016c076-b845-362f-8870-2e652d5fe9fb,Jenelle653 Lehner980,F,PSYCHIATRY,463 WORCESTER RD,FRAMINGHAM,MA,01701-5354,42.307905,-71.436196,0
0dd2de97-e7e3-3c2b-a9ba-74c9f3d6a5b4,d016c076-b845-362f-8870-2e652d5fe9fb,Hue920 Heidenreich818,F,PSYCHIATRY,463 WORCESTER RD,FRAMINGHAM,MA,01701-5354,42.307905,-71.436196,0
80bfc90c-4ed1-3ef6-8c49-6ba8ffb0a4c6,d016c076-b845-362f-8870-2e652d5fe9fb,Jerrod232 Lehner980,M,NEUROLOGY,463 WORCESTER RD,FRAMINGHAM,MA,01701-5354,42.307905,-71.436196,0
3480c482-0652-3016-a9a4-8e7190334ef6,d016c076-b845-362f-8870-2e652d5fe9fb,Hue920 Heidenreich818,F,NEUROLOGY,463 WORCESTER RD,FRAMINGHAM,MA,01701-5354,42.307905,-71.436196,0
c5636a11-c739-3b91-9aeb-fb6a82292a56,d016c076-b845-362f-8870-2e652d5fe9fb,Ali918 Okuneva707,F,NEUROLOGY,463 WORCESTER RD,FRAMINGHAM,MA,01701-5354,42.307905,-71.436196,0
5cc0a069-1e17-3735-a9f6-f40a382f25c7,d016c076-b845-362f-8870-2e652d5fe9fb,Lane844 Kreiger457,M,NEUROLOGY,463 WORCESTER RD,FRAMINGHAM,MA,01701-5354,42.307905,-71.436196,0
bf24a3a1-53e7-373b-a4c4-464b1fed9b23,d016c076-b845-362f-8870-2e652d5fe9fb,Judson999 Bahringer146,M,NEUROLOGY,463 WORCESTER RD,FRAMINGHAM,MA,01701-5354,42.307905,-71.436196,0
d1e6e40c-7afb-309e-809f-f8549ba34609,d016c076-b845-362f-8870-2e652d5fe9fb,Ashlee14 Spencer878,F,NEUROLOGY,463 WORCESTER RD,FRAMINGHAM,MA,01701-5354,42.307905,-71.436196,0
a6c9086d-ba36-368b-8cf2-1df4a82a2fdf,d016c076-b845-362f-8870-2e652d5fe9fb,Forrest301 Corwin846,M,NEUROLOGY,463 WORCESTER RD,FRAMINGHAM,MA,01701-5354,42.307905,-71.436196,0
a9b0933f-e201-38c7-b316-b8617f80a7fd,d016c076-b845-362f-8870-2e652d5fe9fb,Sidney996 Wisozk929,M,NEUROLOGY,463 WORCESTER RD,FRAMINGHAM,MA,01701-5354,42.307905,-71.436196,0
f10d8768-85b8-3926-a30a-180fffb1b262,d016c076-b845-362f-8870-2e652d5fe9fb,Rudolph554 Grimes165,M,NEUROLOGY,463 WORCESTER RD,FRAMINGHAM,MA,01701-5354,42.307905,-71.436196,0
43950f0d-ecb8-3d0a-acdc-ad67dc585062,d016c076-b845-362f-8870-2e652d5fe9fb,Boris111 Harris789,M,NEUROLOGY,463 WORCESTER RD,FRAMINGHAM,MA,01701-5354,42.307905,-71.436196,0
84edabe7-2892-3321-85d2-d8f2afbc8453,d016c076-b845-362f-8870-2e652d5fe9fb,Toya963 Predovic534,F,NEUROLOGY,463 WORCESTER RD,FRAMINGHAM,MA,01701-5354,42.307905,-71.436196,0
a6eb8e5c-61d1-39da-a19c-9da2579dccef,d016c076-b845-362f-8870-2e652d5fe9fb,Jared66 Larkin917,M,NEUROLOGY,463 WORCESTER RD,FRAMINGHAM,MA,01701-5354,42.307905,-71.436196,0
38c8b54b-90b4-3af8-8cc0-7602f6cf7c8e,d016c076-b845-362f-8870-2e652d5fe9fb,Jenelle653 Lehner980,F,PAIN MANAGEMENT,463 WORCESTER RD,FRAMINGHAM,MA,01701-5354,42.307905,-71.436196,0
a7e1d4c1-7913-3a12-921a-4c2dc3732f4b,d016c076-b845-362f-8870-2e652d5fe9fb,Prince887 Heidenreich818,M,PAIN MANAGEMENT,463 WORCESTER RD,FRAMINGHAM,MA,01701-5354,42.307905,-71.436196,0
d04d23b7-c9f5-3738-b40a-b1daf8633f63,d016c076-b845-362f-8870-2e652d5fe9fb,Jerrod232 Lehner980,M,SLEEP MEDICINE,463 WORCESTER RD,FRAMINGHAM,MA,01701-5354,42.307905,-71.436196,0
6bbe6d45-92b0-3af7-8bfd-148103e3f2d5,d016c076-b845-362f-8870-2e652d5fe9fb,Hue920 Heidenreich818,F,SLEEP MEDICINE,463 WORCESTER RD,FRAMINGHAM,MA,01701-5354,42.307905,-71.436196,0
f364e62e-ee9d-336d-95fa-4d696c82be7c,d016c076-b845-362f-8870-2e652d5fe9fb,Jenelle653 Lehner980,F,FAMILY PRACTICE,463 WORCESTER RD,FRAMINGHAM,MA,01701-5354,42.307905,-71.436196,0
8211feb7-bd9a-388b-9ce1-cbf3277d6607,d016c076-b845-362f-8870-2e652d5fe9fb,Prince887 Heidenreich818,M,FAMILY PRACTICE,463 WORCESTER RD,FRAMINGHAM,MA,01701-5354,42.307905,-71.436196,0
6d6a35cd-cd0e-3ed1-a4fc-5f21112b0cb0,d016c076-b845-362f-8870-2e652d5fe9fb,Jerrod232 Lehner980,M,GENERAL PRACTICE,463 WORCESTER RD,FRAMINGHAM,MA,01701-5354,42.307905,-71.436196,14
9a3410d0-6230-3642-9212-88ab34bf6afe,d016c076-b845-362f-8870-2e652d5fe9fb,Jerrod232 Lehner980,M,INTERNAL MEDICINE,463 WORCESTER RD,FRAMINGHAM,MA,01701-5354,42.307905,-71.436196,0
